VOLTAGE=-57.651600671891721, I_K=-0.000002617607519, I_L=-0.617648946652710, I_Na=0.039081993155134, I_T=0.120609076512548, H=0.982433231617590, R=0.001187158004143
VOLTAGE=-57.656179072355897, I_K=-0.000002613617136, I_L=-0.617419966405414, I_Na=0.039011050378264, I_T=0.120571483226810, H=0.982438803791467, R=0.001187407904480
VOLTAGE=-57.660756265844611, I_K=-0.000002609613676, I_L=-0.617191046382205, I_Na=0.038940253819226, I_T=0.120534053304953, H=0.982444406327639, R=0.001187659506813
VOLTAGE=-57.665332249871398, I_K=-0.000002605597274, I_L=-0.616962186707769, I_Na=0.038869603186395, I_T=0.120496786439888, H=0.982450039105558, R=0.001187912810051
VOLTAGE=-57.669907021957009, I_K=-0.000002601568062, I_L=-0.616733387506430, I_Na=0.038799098188568, I_T=0.120459682324970, H=0.982455702004947, R=0.001188167813104
VOLTAGE=-57.674480579629403, I_K=-0.000002597526172, I_L=-0.616504648902150, I_Na=0.038728738534969, I_T=0.120422740654006, H=0.982461394905801, R=0.001188424514883
VOLTAGE=-57.679052920423743, I_K=-0.000002593471736, I_L=-0.616275971018530, I_Na=0.038658523935245, I_T=0.120385961121246, H=0.982467117688380, R=0.001188682914302
VOLTAGE=-57.683624041882375, I_K=-0.000002589404887, I_L=-0.616047353978813, I_Na=0.038588454099470, I_T=0.120349343421391, H=0.982472870233217, R=0.001188943010277
VOLTAGE=-57.688193941554815, I_K=-0.000002585325754, I_L=-0.615818797905881, I_Na=0.038518528738140, I_T=0.120312887249585, H=0.982478652421112, R=0.001189204801724
VOLTAGE=-57.692762616997747, I_K=-0.000002581234470, I_L=-0.615590302922259, I_Na=0.038448747562182, I_T=0.120276592301420, H=0.982484464133135, R=0.001189468287561
VOLTAGE=-57.697330065774999, I_K=-0.000002577131164, I_L=-0.615361869150113, I_Na=0.038379110282946, I_T=0.120240458272933, H=0.982490305250623, R=0.001189733466708
VOLTAGE=-57.701896285457543, I_K=-0.000002573015966, I_L=-0.615133496711250, I_Na=0.038309616612209, I_T=0.120204484860609, H=0.982496175655182, R=0.001190000338087
VOLTAGE=-57.706461273623468, I_K=-0.000002568889007, I_L=-0.614905185727123, I_Na=0.038240266262177, I_T=0.120168671761375, H=0.982502075228685, R=0.001190268900621
VOLTAGE=-57.711025027857978, I_K=-0.000002564750415, I_L=-0.614676936318827, I_Na=0.038171058945481, I_T=0.120133018672605, H=0.982508003853272, R=0.001190539153234
VOLTAGE=-57.715587545753380, I_K=-0.000002560600321, I_L=-0.614448748607101, I_Na=0.038101994375182, I_T=0.120097525292116, H=0.982513961411351, R=0.001190811094854
VOLTAGE=-57.720148824909060, I_K=-0.000002556438851, I_L=-0.614220622712331, I_Na=0.038033072264768, I_T=0.120062191318170, H=0.982519947785595, R=0.001191084724406
VOLTAGE=-57.724708862931493, I_K=-0.000002552266134, I_L=-0.613992558754547, I_Na=0.037964292328155, I_T=0.120027016449474, H=0.982525962858944, R=0.001191360040822
VOLTAGE=-57.729267657434200, I_K=-0.000002548082299, I_L=-0.613764556853425, I_Na=0.037895654279690, I_T=0.119992000385176, H=0.982532006514606, R=0.001191637043033
VOLTAGE=-57.733825206037764, I_K=-0.000002543887473, I_L=-0.613536617128290, I_Na=0.037827157834146, I_T=0.119957142824869, H=0.982538078636050, R=0.001191915729970
